date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:45	70119/70119	---M-Z	200	added ('OK')	text/html	etag:%22111e7-6757d5a0-815712b2206d2efd;gz%22	https://softivuspro.com/bankhub-html/index.html	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/index.html	(from )
00:29:46	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-e5bf6d36ef207403;gz%22	https://softivuspro.com/robots.txt		(from )
00:29:47	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-6757d5a0-f29ebe495de86ebd;gz%22	https://softivuspro.com/bankhub-html/assets/images/favicon.ico	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/favicon.ico	(from https://softivuspro.com/bankhub-html/index.html)
00:29:48	3493/3493	---M-Z	200	added ('OK')	text/css	etag:%22da5-6757d5a0-c37bc86085e385e8;gz%22	https://softivuspro.com/bankhub-html/assets/css/nice-select2.css	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/css/nice-select2.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:50	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2023:29:50%20GMT	https://fonts.gstatic.com/	/Users/macbookair/websites/workk/fonts.gstatic.com/index.html	(from https://softivuspro.com/bankhub-html/index.html)
00:29:50	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20May%202025%2023:29:50%20GMT	https://fonts.googleapis.com/	/Users/macbookair/websites/workk/fonts.googleapis.com/index.html	(from https://softivuspro.com/bankhub-html/index.html)
00:29:51	60/60	---M--	302	error ('Found')	text/plain	date:Fri,%2023%20May%202025%2023:29:50%20GMT	https://unpkg.com/js-datepicker/dist/datepicker.min.css	/Users/macbookair/websites/workk/unpkg.com/js-datepicker/dist/datepicker.min.3.delayed	(from https://softivuspro.com/bankhub-html/index.html)
00:29:52	5688/5688	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2017:16:20%20GMT	https://unpkg.com/js-datepicker@5.18.4/dist/datepicker.min.css	/Users/macbookair/websites/workk/unpkg.com/js-datepicker@5.18.4/dist/datepicker.min.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:53	89729/89729	---M-Z	200	added ('OK')	text/css	etag:%2215e81-6757d5a0-1c7a0165bbf2e7e9;gz%22	https://softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/css/line-awesome/css/line-awesome.min.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:55	13867/13867	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-362b%22	https://cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	/Users/macbookair/websites/workk/cdnjs.cloudflare.com/ajax/libs/tippy.js/2.5.4/tippy.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:55	51/51	---M--	302	error ('Found')	text/plain	date:Fri,%2023%20May%202025%2023:29:55%20GMT	https://unpkg.com/tippy.js@6/animations/scale.css	/Users/macbookair/websites/workk/unpkg.com/tippy.js@6/animations/scale.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:57	394/394	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2017:16:21%20GMT	https://unpkg.com/tippy.js@6.3.7/animations/scale.css	/Users/macbookair/websites/workk/unpkg.com/tippy.js@6.3.7/animations/scale.css	(from https://softivuspro.com/bankhub-html/index.html)
00:29:58	2061/2061	---MC-	200	added ('OK')	text/css	date:Fri,%2023%20May%202025%2023:29:58%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@100..900&display=swap	/Users/macbookair/websites/workk/fonts.googleapis.com/css21141.css	(from https://softivuspro.com/bankhub-html/index.html)
00:30:00	183891/183891	---M-Z	200	added ('OK')	text/css	etag:%222ce53-6757d5a0-5316bffda94ab5b;gz%22	https://softivuspro.com/bankhub-html/assets/css/index.css	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/css/index.css	(from https://softivuspro.com/bankhub-html/index.html)
00:30:00	3910/3910	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:00%20GMT	https://softivuspro.com/bankhub-html/assets/images/logo-with-text.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/logo-with-text.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:01	2690/2690	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:01%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-3.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/user-3.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:02	2682/2682	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:02%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-4.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/user-4.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:04	2743/2743	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:03%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-5.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/user-5.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:04	2700/2700	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:04%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-7.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/user-7.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:06	69428/69428	---M-Z	200	added ('OK')	text/html	etag:%2210f34-6757d5a0-2ad135a91596f2e;gz%22	https://softivuspro.com/bankhub-html/chat.html	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/chat.html	(from https://softivuspro.com/bankhub-html/index.html)
00:30:07	9492/9492	---M--	200	added ('OK')	image/png	date:Fri,%2023%20May%202025%2023:30:06%20GMT	https://softivuspro.com/bankhub-html/assets/images/user-big-4.png	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/assets/images/user-big-4.png	(from https://softivuspro.com/bankhub-html/index.html)
00:30:08	60917/60917	---M-Z	200	added ('OK')	text/html	etag:%22edf5-6757d5a0-d4ba22171c057a4;gz%22	https://softivuspro.com/bankhub-html/profile.html	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/profile.html	(from https://softivuspro.com/bankhub-html/index.html)
00:30:09	76934/76934	---M-Z	200	added ('OK')	text/html	etag:%2212c86-6757d5a0-cd248be5e2cebd14;gz%22	https://softivuspro.com/bankhub-html/help-center.html	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/help-center.html	(from https://softivuspro.com/bankhub-html/index.html)
00:30:10	58143/58143	---M-Z	200	added ('OK')	text/html	etag:%22e31f-6757d5a0-cd3535805990bb2f;gz%22	https://softivuspro.com/bankhub-html/security.html	/Users/macbookair/websites/workk/softivuspro.com/bankhub-html/security.html	(from https://softivuspro.com/bankhub-html/index.html)
